City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Avera,US,2022-01-25 18:59:37,33.194,-82.5271,59.94,57,99,8.79
137,Port Elizabeth,ZA,2022-01-25 18:59:37,-33.918,25.5701,71.1,88,75,5.75
138,Saint-Philippe,RE,2022-01-25 18:59:38,-21.3585,55.7679,74.79,69,99,12.28
139,Dzhubga,RU,2022-01-25 18:59:38,44.3211,38.7039,35.37,70,84,2.64
140,Cabo San Lucas,MX,2022-01-25 18:56:41,22.8909,-109.9124,75.61,37,2,1.99
141,Souillac,MU,2022-01-25 18:59:39,-20.5167,57.5167,77.38,69,40,14.97
142,Ishinomaki,JP,2022-01-25 18:59:39,38.4167,141.3,33.55,88,100,4.47
143,Fortuna,US,2022-01-25 18:59:40,40.5982,-124.1573,43.14,47,0,0.45
144,Poum,NC,2022-01-25 18:59:40,-20.2333,164.0167,78.91,75,98,13.02
145,Krasnoselkup,RU,2022-01-25 18:59:41,65.7,82.4667,-11.78,98,35,10.27
146,Pascagoula,US,2022-01-25 18:59:41,30.3658,-88.5561,52.03,95,100,8.05
147,Zhezkazgan,KZ,2022-01-25 18:59:42,47.8043,67.7144,-2.25,95,14,4.23
148,Kushima,JP,2022-01-25 18:59:42,31.4583,131.2333,42.12,82,6,6.38
149,Praia Da Vitoria,PT,2022-01-25 18:59:43,38.7333,-27.0667,61.75,88,75,6.96
150,Yurginskoye,RU,2022-01-25 18:59:44,56.8189,67.3921,19.85,95,100,7.38
151,Youkounkoun,GN,2022-01-25 18:55:09,12.5333,-13.1333,86.7,8,100,4.79
152,Kruisfontein,ZA,2022-01-25 18:59:44,-34.0033,24.7314,68.88,88,100,7.99
153,Sande,DE,2022-01-25 18:59:45,53.5049,8.0142,39.43,82,100,6.87
154,Vlore,AL,2022-01-25 18:59:46,40.4667,19.4897,35.51,45,7,6.76
155,Saint-Louis,SN,2022-01-25 18:59:46,16.3333,-15.0,89.24,8,100,10.8
156,Atbasar,KZ,2022-01-25 18:59:47,51.8,68.3333,6.35,86,100,7.54
157,Gat,IL,2022-01-25 18:59:47,31.61,34.7642,49.41,65,0,7.14
158,Berlevag,NO,2022-01-25 18:59:48,70.8578,29.0864,30.15,80,20,34.52
159,Tonder,DK,2022-01-25 18:55:37,54.9331,8.8667,43.21,94,100,1.99
160,Naze,JP,2022-01-25 18:59:48,28.3667,129.4833,57.36,70,69,12.08
