City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
488,Sitka,US,57.0531,-135.33,37.29,70,100,10.36,overcast clouds
489,Hueypoxtla,MX,19.9083,-99.08,69.42,24,1,6.42,clear sky
490,Jijiga,ET,9.35,42.8,60.4,46,73,8.81,broken clouds
491,Makakilo City,US,21.3469,-158.0858,76.28,65,0,3.44,clear sky
492,Novaya Bryan,RU,51.7159,108.2691,-24.83,100,87,2.53,overcast clouds
493,Kilinochchi,LK,9.3961,80.3982,75.92,87,64,8.79,broken clouds
494,Jumla,NP,29.2747,82.1838,36.3,49,0,4.92,clear sky
495,Pacasmayo,PE,-7.4006,-79.5714,75.25,70,97,14.38,overcast clouds
496,La Paz,BO,-16.5,-68.15,55.38,82,75,4.61,broken clouds
497,Bikramganj,IN,25.2,84.25,52.52,69,0,1.88,clear sky
498,Puerto Colombia,CO,10.9878,-74.9547,87.89,69,100,17.18,overcast clouds
499,Kasongo,CD,-4.45,26.6667,71.19,84,100,4.25,overcast clouds
500,Taua,BR,-5.9667,-40.3,83.21,51,100,7.63,overcast clouds
501,Conde,BR,-7.2597,-34.9075,85.46,70,40,16.11,scattered clouds
502,Verkhnevilyuysk,RU,63.4453,120.3167,-23.42,99,44,4.12,scattered clouds
503,Perth,AU,-31.9333,115.8333,69.98,70,0,12.66,clear sky
504,Charlottesville,US,38.0293,-78.4767,34.57,45,75,1.99,broken clouds
505,Abu Samrah,SY,35.3029,37.1841,44.74,70,81,6.6,broken clouds
506,Sabang,ID,5.8933,95.3214,81.68,73,37,7.31,scattered clouds
507,Naryan-Mar,RU,67.6713,53.087,11.71,92,100,13.69,overcast clouds
508,Faya,SA,18.3851,42.4509,57.31,81,16,5.1,few clouds
509,Agirish,RU,61.9247,63.0231,-4.74,100,99,1.43,overcast clouds
510,Lujan,AR,-34.5703,-59.105,89.04,48,0,3.0,clear sky
511,Ciudad Bolivar,VE,8.1222,-63.5497,93.54,25,68,7.14,broken clouds
512,Henties Bay,NA,-22.116,14.2845,66.85,80,100,4.94,overcast clouds
513,Emerald,AU,-23.5333,148.1667,74.34,79,77,7.16,broken clouds
514,Banda Aceh,ID,5.5577,95.3222,76.6,83,64,6.98,broken clouds
515,Dongsheng,CN,39.8161,109.9776,8.98,45,0,18.5,clear sky
516,Tongchuan,CN,35.0806,109.0897,20.68,51,0,4.05,clear sky
517,Stephenville,US,32.2207,-98.2023,69.82,18,0,0.0,clear sky
518,Carlsbad,US,33.1581,-117.3506,74.73,35,0,1.99,clear sky
519,Hengyang,CN,26.8881,112.615,39.79,87,100,6.6,overcast clouds
520,Posse,BR,-14.0931,-46.3694,76.39,72,100,6.46,overcast clouds
521,Rapid Valley,US,44.0625,-103.1463,58.32,22,0,1.01,clear sky
522,Russell,US,32.3502,-85.1999,61.88,33,0,5.75,clear sky
523,Worland,US,44.0169,-107.9554,47.55,64,0,3.44,clear sky
524,Troy,US,42.6056,-83.1499,26.87,62,100,1.01,overcast clouds
525,Kahului,US,20.8947,-156.47,76.84,59,0,5.75,clear sky
526,Verenchanka,UA,48.5465,25.7453,37.62,96,100,21.7,overcast clouds
527,Ribeira Brava,PT,32.65,-17.0667,66.13,46,1,9.46,clear sky
528,Tura,IN,25.5198,90.2201,52.75,59,5,3.4,clear sky
529,Pouebo,NC,-20.4,164.5667,76.82,88,100,4.03,overcast clouds
530,Ayaviri,PE,-14.8864,-70.5889,57.47,56,92,6.24,overcast clouds
531,Barraute,CA,48.4335,-77.6328,10.18,83,100,8.3,overcast clouds
532,Kaniama,CD,-7.5667,24.1833,66.67,89,100,2.46,overcast clouds
533,Adre,TD,13.4667,22.2,66.83,17,5,9.13,clear sky
534,Maple Creek,CA,49.9168,-109.4848,43.21,56,100,6.91,overcast clouds
535,Wamba,NG,8.9333,8.6,76.37,12,100,6.13,overcast clouds
